嗯	eng0.5;en0.5;
俟	qi0.015151515151515152;si0.9848484848484849;
倩	qian0.9991150442477876;qing0.0008849557522123894;
茜	qian0.5;xi0.5;
铅	qian0.9931506849315068;yan0.00684931506849315;
纤	qian0.013623978201634877;xian0.9863760217983651;
荨	qian0.5;xun0.5;
慊	qian0.5;qie0.5;
鞘	qiao0.996;shao0.004;
雀	qiao0.0015527950310559005;que0.9984472049689441;
亲	qin0.9989926608145057;qing0.0010073391854943158;
覃	qin0.5;tan0.5;
蝤	qiu0.5;you0.5;
戌	qu0.023255813953488372;xu0.9767441860465116;
券	quan0.9953703703703703;xuan0.004629629629629629;
葚	ren0.16666666666666666;shen0.8333333333333334;
挲	sa0.3333333333333333;sha0.3333333333333333;suo0.3333333333333333;
塞	sai0.9951899951899952;se0.00481000481000481;
糁	san0.1;shen0.9;
色	se0.9993969243140014;shai0.0006030756859985928;
莎	sha0.9990740740740741;suo0.000925925925925926;
厦	sha0.9725274725274725;xia0.027472527472527472;
杉	sha0.004608294930875576;shan0.9953917050691244;
栅	shan0.008130081300813009;zha0.991869918699187;
苕	shao0.9230769230769231;tiao0.07692307692307693;
蛸	shao0.5;xiao0.5;
召	shao0.0007776049766718507;zhao0.9992223950233281;
折	she0.038669760247486466;zhe0.9613302397525135;
歙	she0.5;xi0.5;
拾	she0.0007320644216691069;shi0.9992679355783309;
谁	shei0.8;shui0.2;
什	shen0.9973642593568793;shi0.002635740643120717;
莘	shen0.9855072463768116;xin0.014492753623188406;
省	sheng0.9915966386554622;xing0.008403361344537815;
识	shi0.9998790956353525;zhi0.00012090436464756378;
氏	shi0.9993957703927493;zhi0.0006042296072507553;
似	shi0.017155461155134385;si0.9828445388448657;
媞	shi0.5;ti0.5;
嘘	shi0.0020964360587002098;xu0.9979035639412998;
峙	shi0.005555555555555556;zhi0.9944444444444445;
殖	shi0.0036101083032490976;zhi0.9963898916967509;
熟	shou0.1;shu0.9;
数	shu0.9998994873856669;shuo0.0001005126143330988;
术	shu0.9997893850042123;zhu0.00021061499578770007;
说	shui8.332916687498959e-06;shuo0.9999916670833126;
宿	su0.9;xiu0.1;
缩	su0.0006798096532970768;suo0.9993201903467029;
拓	ta0.5;tuo0.5;
铊	ta0.6666666666666666;tuo0.3333333333333333;
忒	te0.005025125628140704;tei0.49748743718592964;tui0.49748743718592964;
荑	ti0.5;yi0.5;
裼	ti0.5;xi0.5;
褪	tui0.9927007299270073;tun0.0072992700729927005;
屯	tun0.9947916666666666;zhun0.005208333333333333;
崴	wai0.9795918367346939;wei0.02040816326530612;
尾	wei0.9675324675324676;yi0.032467532467532464;
尉	wei0.9983922829581994;yu0.001607717041800643;
蔚	wei0.9950738916256158;yu0.0049261083743842365;
圩	wei0.5;xu0.5;
涴	wo0.5;yuan0.5;
洗	xi0.9991275519106613;xian0.0008724480893386843;
削	xiao0.9;xue0.1;
血	xie0.5;xue0.5;
叶	xie0.00015971889474524837;ye0.9998402811052548;
荥	xing0.5;ying0.5;
吁	xu0.40722291407222916;yu0.5927770859277709;
咽	yan0.9891067538126361;ye0.010893246187363835;
芫	yan0.5;yuan0.5;
殷	yan0.0016778523489932886;yin0.9983221476510067;
钥	yao0.9572649572649573;yue0.042735042735042736;
约	yao0.018646280067126608;yue0.9813537199328733;
喁	yong0.09090909090909091;yu0.9090909090909091;
熨	yu0.034482758620689655;yun0.9655172413793104;
员	yuan0.9998872985461512;yun0.00011270145384875464;
咋	za0.9979736575481256;ze0.0010131712259371835;zha0.0010131712259371835;
扎	za0.004868549172346641;zha0.9951314508276533;
拶	za0.3333333333333333;zan0.6666666666666666;
仔	zai0.5;zi0.5;
奘	zang0.967741935483871;zhuang0.03225806451612903;
择	ze0.9996069182389937;zhai0.00039308176100628933;
笮	ze0.5;zuo0.5;
综	zeng0.0032679738562091504;zong0.9967320261437909;
柞	zha0.14285714285714285;zuo0.8571428571428571;
豸	zhai0.09090909090909091;zhi0.9090909090909091;
着	zhao0.005929095354523227;zhe0.9881418092909535;zhuo0.005929095354523227;
爪	zhao0.01;zhua0.90;
啁	zhao0.125;zhou0.875;
吱	zhi0.9;zi0.1;
琢	zhuo0.5;zuo0.5;
